,عنوان,مدرس,آموزشگاه,لینک,قیمت,ساعت,جلسات
74,آموزش وب اسکرپینگ با پایتون (web scraping),معین سلیمی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%88%D8%A8-%D8%A7%D8%B3%DA%A9%D8%B1%D9%BE%DB%8C%D9%86%DA%AF-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk634/,259000,0,110
3,آموزش پایتون مقدماتی,جادی میرمیرانی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%A8%D8%A7-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-mk346/,299000,0,134
49,آموزش پایتون پیشرفته‌,معین سلیمی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-mk1245/,299000,0,108
9,آموزش پردازش موازی در پایتون,محمدرضا کریمی‌نژاد,مکتب‌خونه,https://maktabkhooneh.org/course/%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%B4-%D9%85%D9%88%D8%A7%D8%B2%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1346/,99000,0,58
30,آموزش یادگیری ماشین با پایتون,جادی میرمیرانی,مکتب‌خونه,https://maktabkhooneh.org/course/%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1318/,279000,0,124
67,از اکو‌سیستم پایتون بپرس: داده‌کاوی روش‌های توسعه با پایتون,محمود هاشمی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A7%DA%A9%D9%88-%D8%B3%DB%8C%D8%B3%D8%AA%D9%85-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D8%A8%D9%BE%D8%B1%D8%B3-%D8%AF%D8%A7%D8%AF%D9%87-%DA%A9%D8%A7%D9%88%DB%8C-%D8%B1%D9%88%D8%B4-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk666/,0,0,2
63,اصول برنامه نویسی C و ++C,کیارش بازرگان,دانشگاه صنعتی اصفهان,https://maktabkhooneh.org/course/%D8%A7%D8%B5%D9%88%D9%84-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-C-%D9%88-C-mk68/,0,0,74
25,بازی‌سازی با اسکرچ,Al Sweigart,Udemy,https://maktabkhooneh.org/course/%D8%A8%D8%A7%D8%B2%DB%8C-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%A8%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DA%86-mk1321/,0,0,92
51,برنامه سازی پیشرفته,جعفری نژاد,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-mk230/,0,0,64
56,برنامه نویسی پیشرفته,رامتین خسروی,دانشگاه تهران,https://maktabkhooneh.org/course/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-mk187/,0,0,60
46,برنامه نویسی پیشرفته(جاوا),غلامعلی نژاد حاجعلی ایرانی,دانشگاه بناب,https://maktabkhooneh.org/course/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-%D8%AC%D8%A7%D9%88%D8%A7-mk242/,0,0,70
42,برنامه‌نویسی حرفه‌ای تحت وب در جاوا,غلامعلی نژاد حاجعلی ایرانی,دانشگاه بناب,https://maktabkhooneh.org/course/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%AD%D8%B1%D9%81%D9%87-%D8%A7%DB%8C-%D8%AA%D8%AD%D8%AA-%D9%88%D8%A8-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-mk282/,0,0,22
32,بلاک چین و بیت کوین به زبان ساده,جادی میرمیرانی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A8%D9%84%D8%A7%DA%A9-%DA%86%DB%8C%D9%86-%D8%A8%D9%87-%D8%B2%D8%A8%D8%A7%D9%86-%D8%B3%D8%A7%D8%AF%D9%87-mk976/,159000,0,100
